id,can_smiles,ac
6,CCN(CC)C(=O)c1ccc(C2=CC3(CCN(C)CC3)Oc3ccccc32)cc1,1
7,CCN1CCC2(C=C(c3ccc(C(=O)N(CC)CC)cc3)c3ccccc3O2)CC1,1
12,C1=C(c2ccccc2)c2ccccc2OC12CCNCC2,1
13,Cc1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,1
14,FC(F)(F)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,1
15,COc1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,1
16,Oc1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,1
17,N#Cc1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,1
18,COC(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1,1
21,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCNCC)c(I)c1,1
22,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN)c(I)c1,1
23,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(C(C)C)C(C)C)c(I)c1,1
26,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCNC(=O)CC)c(I)c1,1
27,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN2CCCC2)c(I)c1,1
28,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN2CCCCC2)c(I)c1,1
29,CC(=O)Nc1cc(-c2cccc(N3CCN(C)CC3)n2)nc(-n2nc(C)cc2C)n1,1
35,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,1
37,Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1,1
49,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,1
50,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,1
52,COc1ccc(CC2c3cc(Oc4cc(CC5c6cc(OC)c(OC)cc6CCN5C)ccc4O)c(OC)cc3CCN2C)cc1,1
56,Cc1cc(C)n(-c2cc(NC(=O)CN3CCC(N(C)C)C3)nc(-c3ccc(C)o3)n2)n1,1
57,CCNC1CCN(CC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccc(C)o3)n2)C1,1
58,Cc1cc(C)n(-c2cc(NC(=O)CN3CCC(CN(C)C)C3)nc(-c3ccc(C)o3)n2)n1,1
59,Cc1cc(C)n(-c2cc(NC(=O)CCN3CCC(N(C)C)C3)nc(-c3ccc(C)o3)n2)n1,1
61,CNCCC(c1ccccc1)c1c[nH]c2ccccc12,1
