id,can_smiles,ac
1,COC1OC2(CCN(Cc3ccccc3)CC2)c2cnn(-c3ccccc3)c21,1
2,CCCC[NH+]1CCC2(CC1)OC(OC)c1c2cnn1-c1ccccc1,1
3,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,1
4,Fc1ccc(C(OCC[N+]2CC[N+](CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,1
5,COc1ncc(-c2ccc(C3CC([N@@H+]4CCC[C@H]4C)C3)cc2)cn1,1
6,O=C(NC1CC[NH+](Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(Cl)c(Cl)cc2o1,1
7,COc1ncc(-c2ccc3cc(CC[NH+]4CCC[C@H]4C)ccc3c2)cn1,1
8,O=C1Nc2ccccc2[NH+]1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1
9,O=C(NC1CC[NH+](Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(Br)cc2o1,1
10,O=C(NC1CC[NH+](Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(OC(F)F)cc2o1,1
11,COc1ccccc1Oc1ccccc1CN1CCC2(CC1)CCN(C(=O)c1ccc(Cl)cc1)CC2,1
12,C[C@@H]1CCC[NH+]1C1CC(c2ccc(-c3cncnc3)cc2)C1,1
13,O=C1NCN(c2ccccc2)C12CC[N+](CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,1
14,CS(=O)(=O)Nc1ccc(CCN(CCOc2ccc(NS(C)(=O)=O)cc2)c2ccc([N+](=O)[O-])c3nonc23)cc1,1
15,O=C1NCCN1CC[NH+]1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,1
16,O=C(NC1CC[NH+](Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(F)ccc2o1,1
17,O=C(NC1CC[NH+](Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(Cl)cc2o1,1
18,N#Cc1ccc2c(=O)cc(C(=O)NC3CC[NH+](Cc4ccc5c(c4)OCO5)CC3)oc2c1,1
19,CCc1ccc2c(=O)cc(C(=O)NC3CC[NH+](Cc4ccc5c(c4)OCO5)CC3)oc2c1,1
20,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1[NH+]2C,1
21,O=C(NC1CC[NH+](Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(F)c(F)cc2o1,1
22,O=C(NC1CC[NH+](Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccccc2o1,1
23,C[C@@H]1CCC[NH+]1CCc1ccc2cc(-n3ncccc3=O)ccc2c1,1
24,C[C@@H]1CCC[NH+]1CCc1cc2cc(-c3cn[nH]c3)ccc2o1,1
25,O=C1NCCN1CC[NH+]1CCC(c2cn(-c3ccc(F)cc3)c3ccccc23)CC1,1
26,Fc1ccc2c(c1)c(C1CC[NH+](CCN3CCNC3=S)CC1)cn2-c1ccccc1,1
27,Cc1cccc(CC[NH+]2CCC(C(=O)c3ccc(NS(C)(=O)=O)cc3)CC2)n1,1
28,c1ccc(-c2cnc(Nc3ccc(C[NH+]4CCCC4)cn3)s2)cc1,1
29,C[NH+](CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,1
30,CN1CC[NH+](CCCN(C(=O)Nc2ccc(F)c(Cl)c2)[C@@H]2CC[C@]3(c4cccc([NH3+])c4)C[C@H]23)CC1,1
31,O=C1NCCN1CC[NH+]1CC=C(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,1
32,C[NH+](C)Cc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,1
33,Cc1cc(-c2ccc3c(c2)CC[NH+](CCCSc2nnc(-c4ccc(Cl)c(Cl)c4)n2C)CC3)no1,1
34,C[N@@H+](CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,1
35,CCCCCCC[N@@H+](CC)CCC[C@@H](O)c1ccc(NS(C)(=O)=O)cc1,1
36,O=C(NC1CC[NH+](Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2cc(F)c(Cl)cc2o1,1
37,O=C(NC1CC[NH+](Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccc(F)cc2o1,1
38,O=C1NC(=O)C(c2nn(CCC[NH+]3CCCC3)c3ccccc23)=C1c1cn(-c2ccc3ccccc3c2)c2ccccc12,1
39,CN(C)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,1
40,COc1ccc2c(=O)cc(C(=O)NC3CC[NH+](Cc4ccc5c(c4)OCO5)CC3)oc2c1,1
41,C[N+]1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,1
42,CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1,1
43,CC(C(=O)N[C@]1(c2ccccc2)CC[C@@H]([NH+]2CCC(c3ccc(F)cc3)CC2)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,1
44,COc1cc2oc(C(=O)NC3CC[NH+](Cc4ccc5c(c4)OCO5)CC3)cc(=O)c2cc1F,1
45,O=C(CCC[NH+]1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,1
46,Cc1cccc(C)c1NC(=O)CN1CC[NH+](CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,1
47,CCOC(=O)C1CCCN(C(=[NH2+])c2ccc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc3ccc(Cl)cn3)cc2)C1,1
48,CC(C)(C)c1ccc([C@@H](O)CCC[NH+]2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1
49,CC(C)[C@]1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC[C@@H]([NH+]2CCC(c3ccc(F)cc3)CC2)C1,1
50,Cc1ccc(O)c([C@@H](CC[NH+](C(C)C)C(C)C)c2ccccc2)c1,1
51,CCOC(=O)C1CCN(C(=[NH2+])c2ccc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc3ccc(Cl)cn3)cc2)CC1,1
52,c1ccc(-c2[nH]c3ccccc3c2C2CC3CCC(C2)N3c2ccccc2)cc1,1
53,c1ccc(CC[NH+]2[C@H]3CC[C@@H]2CC(c2c(-c4ccccc4)[nH]c4ccccc24)C3)cc1,1
54,COc1ccc(CC[N+](C)CCCN(C(=O)c2ccc([N+](=O)[O-])cc2)c2ccc(OC)c(OC)c2)cc1OC,1
55,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@H]1OC,1
56,CCCC[NH+](CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,1
57,Cc1cc(-c2ccc3c(c2)CC[NH+](CCCSc2nnc(-c4ccc(C#N)cc4)n2C)CC3)no1,1
58,COc1ccc2c(c1)CCC1(CC[NH+](CCc3ccc(F)cc3F)CC1)O2,1
59,c1ccc(-c2cnc(Nc3cc(C[NH+]4CCCC4)ccn3)s2)cc1,1
60,C[NH+](C)CCCn1nc(C2=C(c3cn(-c4ccc5ccccc5c4)c4ccccc34)C(=O)NC2=O)c2ccccc21,1
61,O=C1NCCN1CC[NH+]1CCC([C@H]2CN(c3ccc(F)cc3)c3ccccc32)CC1,1
62,N#Cc1ccc(Cn2cncc2C[N+](CCCc2ccccc2)C2CCN(Cc3cccc(Cl)c3)C2=O)cc1,1
63,CC(C)(C)c1ccc(C(=O)CCC[NH+]2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,1
64,O=C1NCCN1CC[NH+]1CCC(C2CN(c3ccc(F)cc3)c3ccccc32)CC1,1
65,Cc1ccc(-c2nnc(SCCC[NH+]3CCc4ccc(-c5cc(C)on5)cc4CC3)n2C)cc1,1
