id,can_smiles,ac
CHEMBL410234,Cc1cc(C)n(-c2cc(NC(=O)CCN(C)C)nc(-c3ccc(C)o3)n2)n1,1
CHEMBL2407175,CCCN1C(=O)CC2(CCN(CC3CCN(C(=O)OCC)CC3)CC2)c2cccnc21,1
CHEMBL100415,CCCCN(Cc1cncn1Cc1ccc(C#N)cc1)C1CCN(Cc2ccccc2)C1=O,1
CHEMBL3086040,O=C(NC(c1ccc(Cl)cc1)c1ccnc(F)c1)C1CCC(N2CCOCC2)CC1c1ccc(Br)cc1,1
CHEMBL470849,Cc1ccc2c(N3CCN(CCCc4cccc5c4OCC(=O)N5)CC3)cccc2n1,1
CHEMBL252818,CC(=O)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,1
CHEMBL1258503,NC(=O)c1cccc(OC2CC3CCC(C2)N3CC(=O)Nc2ccccc2)c1,1
CHEMBL522894,Fc1ccc2c(c1)nc(-c1ccccn1)n2-c1ccc(OCCCN2CCOCC2)cc1,1
CHEMBL1079480,Cc1cnc(-c2nnc(SCCCN3CC4CC4(c4ccc(C(F)(F)F)cc4)C3)n2C)cn1,1
CHEMBL3590449,O=C(O)CN(CCOc1ccc([N+](=O)[O-])cc1)CCc1ccc([N+](=O)[O-])cc1,1
CHEMBL497604,N#Cc1cccc(N2CCN(CCCCNC(=O)c3cc4ccccc4o3)CC2)c1,1
CHEMBL512827,Cc1c(CNC2CCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,1
CHEMBL1234898,CCCc1cc(-c2cc(C(=O)N(CCN(C)C)Cc3ccccc3)cc(C(F)(F)F)c2)nc(C#N)n1,1
CHEMBL270376,Cc1nc(C)c(-c2nnc(SCCCN3CCc4ccc5oc(C(F)(F)F)nc5c4CC3)n2C)s1,1
CHEMBL239081,CC1CCCN1CCCOc1ccc(N2CCN(C(=O)c3cc(F)cc(F)c3)CC2=O)cc1,1
CHEMBL202884,O=C1N(C2(c3ccccc3)CCC(N3CCC4(CCOC4)CC3)CC2)CCC1(O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,1
CHEMBL3099950,NC(=O)Nc1ccc(F)cc1OCC(O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2,1
CHEMBL217400,COc1cccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)c1,1
CHEMBL557932,COc1ccc(CNC2CCC(C(=O)N3CCC(C(=O)N4CCCC4)(c4ccccc4)CC3)C(C)(C)C2)cc1,1
CHEMBL205492,O=c1nc(NC2CCN(Cc3ccc4c(c3)OCO4)CC2)c2cc(Cl)ccc2n1CC(F)(F)F,1
CHEMBL1835148,NC(=O)c1cnc(NC(C2CC2)C2CC2)c2c1[nH]c1cc(-c3cnc(N)cn3)ccc12,1
CHEMBL408169,Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6c(cc5CC4)OCCN6)n3C)cccc2n1,1
CHEMBL1910302,COCCCc1ccc(F)c2c(CN(C(=O)C3CNCCC3(O)c3ccc(F)c(F)c3)C3CC3)cn(CCCOC)c12,1
